"species","les_1","les_2","wood_density","wue"
"adfa",-1.04002588452414,-2.6824172773263,0.75305,-27.17363648
"arca",2.38321994670111,-0.464904606161086,0.6857,-27.23881359
"cecu",-0.265030720096581,-1.50432057103591,0.682014286,-27.69980392
"ceol",2.40495525408937,-0.476854488551279,0.612916667,-28.18983077
"enca",3.18126127528653,2.9661486922018,0.6378,-30.80158177
"erfa",1.73753407509137,-1.14152243254861,0.626456556,-28.34922126
"hear",-2.27027051358723,0.303108950459662,0.62,-26.81063172
"mala",-3.801792868162,1.51712898820084,0.4768,-30.56134198
"rhil",-0.517331129626431,-0.782166676074569,0.631333333,-27.43189843
"rhov",-3.85216559435421,0.842644253113048,0.524866667,-25.81511881
"saap",0.228938173639957,0.732294728808665,0.407830343,-28.3138355
"sale",1.38117897542987,0.469258586250512,0.5031,-29.36757328
"same",0.429529010112377,0.221601852663221,0.555316049,-28.18714057
