"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"1","adfa",-2.44798060832323,-1.23043427930325,-2.67829644685309,-0.183493209179164,0.189617651959636,-0.228525971102478,0.652154016131765,-0.347803594460186,0.443510609989633,-4.9960036108132e-16
"2","arca",1.60809261783535,-1.55742262061932,-1.87821310543956,0.404498926069937,-0.167792801545469,0.278501895759242,-0.71647937459668,0.596423678117941,0.824765113953582,-0.454187275452761
"3","cecu",-0.82766973147069,-0.306108397766729,-1.36583205927631,0.561803587910952,-0.456327244553607,0.811583789959234,0.0388501520692149,-0.678704710005741,0.948624835828542,-0.541428054605201
"4","ceol",1.59577939676396,0.365354404315757,-1.95133822518417,-0.983539339189492,0.0529161948163999,-0.373033677107993,-0.937684176747103,-0.46484223789579,-0.294102786339746,-2.22044604925031e-16
"5","enca",4.52788960786846,-1.17650491785335,0.602087044967657,2.28214748562893,-0.720849670909842,-0.977350407918978,0.286836838790481,-0.0240802012932193,-0.0597200199959723,-1.0547118733939e-15
"6","erfa",1.71827465454121,-1.4321646324578,-1.36727701360673,0.784542918571021,0.00134964826433179,1.28079080564626,-0.0140516979096334,0.39258938242749,1.22032403789317,-0.589132860984307
"7","hear",-2.18720773233464,1.34706937024162,-1.04346947426358,-0.929250071669635,-0.332510459341185,-0.608605425543946,0.369886945265774,0.668479013999614,-0.471206207084224,-5.27355936696949e-16
"8","mala",-1.31695705439951,3.22300421667311,1.50598074884551,1.1193036856534,1.74974128067963,-0.20886238524303,0.123501383493274,-0.270216719535709,-0.00907287622497056,-7.97972798949331e-17
"9","rhil",-1.24750658080122,-0.751459219677848,-1.9865266999533,0.117488705229046,-0.282138664580205,-0.519810877921243,0.076996765464721,-0.0418724220331872,-0.289266205516311,-0.21179321579214
"10","rhov",-3.32574699739638,1.61312579254108,0.842019405779318,0.975192970589235,-2.00927620137589,0.434542007825488,-0.347395100813929,-0.0974117150979615,0.204784959852191,-7.63278329429795e-16
"11","saap",0.73583226991813,-1.33378549953931,-0.381876138863035,0.849325791414145,0.221055767999484,1.60401487539679,0.307987326583772,-0.0942249423841883,-0.455044775816835,-8.60422844084496e-16
"12","sale",2.15153056501836,-0.843789490531968,-0.25358137762325,1.01637411119909,0.701648644409059,0.160449091363532,-0.405550369667507,0.515099770170897,0.250120544927763,-0.217682427353038
"13","same",1.12795939591487,-0.619538478789494,-0.745215202053455,0.748750240307359,0.864337770360325,0.366079412867104,-0.606937697627251,0.698553679430732,0.440382915061611,-6.24500451351651e-16
