"","species","PC1","PC2","wue","crown_height","crown_width","wood_density"
"1","adfa",-1.34695022199337,2.77594883539561,-27.17363648,2.8824,1.35,0.75305
"2","arca",2.26296571855494,0.4710351665885,-27.23881359,1.48,1.2,0.6857
"3","cecu",-0.555373137671643,2.16179942559643,-27.69980392,3.435054545,2.6,0.682014286
"4","ceol",2.39842471696883,0.311522971857364,-28.18983077,4.7775,3.7,0.612916667
"5","enca",2.65215922846683,-2.43695666413904,-30.80158177,0.9,1.5,0.6378
"6","erfa",1.59759578108395,1.52016193014468,-28.34922126,0.9144,1.75,0.626456556
"7","hear",-2.05615717865982,-0.743762628678035,-26.81063172,5.375,2.45,0.62
"8","mala",-3.02438343156251,-2.38958780137198,-30.56134198,4.55,6.1,0.4768
"9","rhil",-0.796224993530263,1.06073749094794,-27.43189843,3.04,1.8,0.631333333
"10","rhov",-4.15148195122154,-0.479551839012303,-25.81511881,3.14304,3.5,0.524866667
"11","saap",0.142925810168069,-0.521325310588822,-28.3138355,0.8,1.65,0.407830343
"12","sale",1.84917579437186,-1.0824604508105,-29.36757328,1.2,1.95,0.5031
"13","same",1.02732386502467,-0.647561125929858,-28.18714057,1.128333333,3,0.555316049
